"variable","label","class"
"n47_4","Do you take any medication for a heart attack?","haven_labelled"
"n48","Has any doctor ever told you that you have angina pectoris?","haven_labelled"
"n49","How old were you when you were diagnosed with angina pectoris?","haven_labelled"
"n50","Has any doctor ever told you that you have a heart failure?","haven_labelled"
"n51","How old were you when you were diagnosed with heart failure?","haven_labelled"
"n51_2"," Do you take any medication for heart failure?","haven_labelled"
"n52","Has a doctor ever told you that you had a cerebral vascular accident (stroke)?","haven_labelled"
"n53","How old were you when the doctor told you that you had a stroke?","haven_labelled"
"n53_2","Have you had any other stroke episodes after that?","haven_labelled"
"n53_3","In total, how many stroke episodes have you had?","haven_labelled"
"n53_4","Do you take any medication for this stroke episode(s)?","haven_labelled"
"n53_5","Do you have any problems due to this stroke episode(s)?","haven_labelled"
"n53_6","Do you receive physical therapy, occupational therapy or speech therapy treatmen","haven_labelled"
"n54","Has a doctor ever told you that you have asthma?","haven_labelled"
"n55","Has a doctor ever told you that you have emphysema, chronic bronchitis or COPD?","haven_labelled"
"n55_1","Do you have physical therapy for lung disease?","haven_labelled"
"n55_2","Do you use oxygen or an oxygen pump?","haven_labelled"
"n56","Has a doctor ever told you that you have arthritis or rheumatism?","haven_labelled"
"n57","Has a doctor ever told you that you have osteoporosis?","haven_labelled"
"n58","Has a doctor ever told you that you have chronic column problem?","haven_labelled"
"n59","Has a doctor ever told you that you have depression?","haven_labelled"
"n59_1","Do you take any medication for depression?","haven_labelled"
"n59_2","Has a doctor ever told you that you have a psychiatric problem? (excludes depres","haven_labelled"
"n59_3","Do you take any medication for this psychiatric problem? (excludes depression)?","haven_labelled"
"n60","Has a doctor ever told you that you have or had cancer?","haven_labelled"
"n60_1","How old were you when the doctor told you that you had cancer?","haven_labelled"
"n60_3","In the LAST 2 YEARS, have you had any treatment for cancer?","haven_labelled"
"n60_4"," Was this the first treatment you had for cancer or was the treatment due to a r","haven_labelled"
"n60_51","Was the treatment you had chemotherapy?","haven_labelled"
"n60_52","Was the treatment you had surgery?","haven_labelled"
"n60_53","Was the treatment you had radiation?","haven_labelled"
"n60_54","Was the treatment you had medication for symptoms?","haven_labelled"
"n60_57"," Did you have any other treatment?","haven_labelled"
"n60_7","In these LAST 2 YEARS, have you considered that your cancer:","haven_labelled"
"n61","Has a doctor ever told you that you have chronic renal failure?","haven_labelled"
"n61_01","Has a doctor ever told you that you had dengue?","haven_labelled"
"n61_04","Was the dengue diagnosis confirmed by laboratory testing?","haven_labelled"
"n61_05","Has a doctor ever told you that you had chikungunya?","haven_labelled"
"n61_08","Was the chikungunya diagnosis confirmed by laboratory testing?","haven_labelled"
"n61_09","Has a doctor ever told you that you had Zika?","haven_labelled"
"n61_12","Was the Zika diagnosis confirmed by laboratory testing?","haven_labelled"
"n62","Has a doctor ever told you that you have Parkinsonâ€™s disease?","haven_labelled"
"n63","Has a doctor ever told you that you have Alzheimerâ€™s disease?","haven_labelled"
"n63_1","Do you take any medication for Alzheimer's disease?","haven_labelled"
"n63_2","Has a doctor ever told you that you have a serious memory problem or dementia? (","haven_labelled"
"n63_3","Do you take any medication for this memory problem?","haven_labelled"
"n64","Was anyone in your close family diagnosed with angina pectoris or had a heart at","haven_labelled"
"n65","Was anyone in your close family diagnosed with diabetes?","haven_labelled"
"n66","Have you done a bypass surgery or stent placement or angioplasty?","haven_labelled"
"n67","In the last 12 months, have you taken the flu vaccine?","haven_labelled"
"n68","What was the main reason for not taking the flu vaccine?","haven_labelled"
"n68_1","Have you ever been vaccinated against pneumonia in your life?","haven_labelled"
"n68_2"," In the LAST 10 YEARS, have you had a colonoscopy?","haven_labelled"
"n68_3","Has this exam been done in the last 4 years?","haven_labelled"
"n69","In the last three months, have you lost weight without any dieting?","haven_labelled"
"n70","How many kilograms have you lost in the last 3 months?","haven_labelled"
"n71","What is the range that best represents how many kilograms you have lost in the l","haven_labelled"
"n72","In the last week, how often have you felt you could not handle your activities?","haven_labelled"
"n73"," In the last week, how often have your daily activities required a big effort fr","haven_labelled"
"n74","How would you evaluate the quality of your sleep?","haven_labelled"
"n74_1","How often do you have trouble falling asleep (laying down and sleeping)?","haven_labelled"
"n74_2","How often do you have trouble sleeping because you wake up during the night?","haven_labelled"
"n74_3","How often do you have trouble sleeping because you wake up too early and can't g","haven_labelled"
"n74_4","How often do you wake up rested in the morning?","haven_labelled"
"n74_5","In the LAST 12 MONTHS, how often have you snored, sighed, or lost your breath wh","haven_labelled"
"n74_6","Has a doctor ever told you that you have sleep problems?","haven_labelled"
"n74_71","Was the sleep problem(s) that the doctor said you had sleep apnea?","haven_labelled"
"n74_72","Was the sleep problem(s) that the doctor said you had insomnia?","haven_labelled"
"n74_73","Was the sleep problem(s) that the doctor said you had restlessness in your legs","haven_labelled"
"n74_74","Was the sleep problem(s) that the doctor said you had another problem?","haven_labelled"
"n75","During the last month, did you take medication to sleep?","haven_labelled"
"n75_1","Do you feel pain that bothers you frequently?","haven_labelled"
"n75_2","How intense is this pain most of the time?","haven_labelled"
"n75_3","Does this pain make your daily life difficult, such as in household activities o","haven_labelled"
"n75_4","In the LAST 3 MONTHS, have you taken over-the-counter medication for this pain?","haven_labelled"
"n75_5","In the LAST 3 MONTHS, have you taken stronger pain medications that require a pr","haven_labelled"
"n76","Was this section answered with someone elseâ€™s assistance?","haven_labelled"
"o1","Do you consider the health of your teeth and gums:","haven_labelled"
"o2","Do you think that you currently need dental treatment?","haven_labelled"
"o3","When was the last time you went to the dentist?","haven_labelled"
"o4","Your latest dental appointment was performed at:","haven_labelled"
"o5","What was the main reason of your latest dental appointment?","haven_labelled"
"o5_1","Have you lost any teeth in the LAST 3 YEARS?","haven_labelled"
"o6","How many natural teeth do you have?","haven_labelled"
"o7","For how long have you been without your teeth?","haven_labelled"
"o7_1","How old were you when you lost all your teeth?","haven_labelled"
"o8","Have you had a toothache in the last 6 months?","haven_labelled"
"o9","How many natural teeth do you have on the upper part of your mouth?","haven_labelled"
"o10","How many natural teeth do you have on the lower part of your mouth?","haven_labelled"
"o11","Do you use any kind of removable dental prosthesis â€“ on the lower part of","haven_labelled"
"o12","Do you use any kind of removable dental prosthesis â€“ on the upper part of","haven_labelled"
"o13","Your dental prosthesis was placed:","haven_labelled"
"o14","Have you done any dental implants?","haven_labelled"
"o15_1","Do you use tooth brush to clean up your mouth and teeth?","haven_labelled"
"o15_2","Do you use tooth paste to clean up your mouth and teeth?","haven_labelled"
"o15_3","Do you use dental floss to clean up your mouth and teeth?","haven_labelled"
"o15_4","Do you use tongue scraper to clean up your mouth and teeth?","haven_labelled"
"o15_5","Do you use only water to clean up your mouth and teeth?","haven_labelled"
"o15_6","Do you use another thing to clean up your mouth and teeth?","haven_labelled"
"o16","Has your dentist ever told you that you have/had gum disease?","haven_labelled"
"o17","Does your gum currently bleed?","haven_labelled"
"o17_01","Do you use or have you ever used dental braces?","haven_labelled"
"o17_02","Do you have difficulty opening your mouth wide?","haven_labelled"
"o17_03","Do you have difficulty moving your jaw sideways?","haven_labelled"
"o17_04","Do you have muscle fatigue/pain when chewing?","haven_labelled"
"o17_05","Do you have headaches frequently?","haven_labelled"
"o17_06","Do you feel nape pain or torticollis?","haven_labelled"
"o17_07","Do you have earache or pain in the region close to the ear?","haven_labelled"
"o17_08","Have you ever noticed if you have noises in the joint close to the ear (TMJ) whe","haven_labelled"
"o17_09","Have you observed if you have any habits such as clenching and/or grinding your","haven_labelled"
"o17_10","Do you feel that your teeth do not articulate well?","haven_labelled"
"o17_11","Do you consider yourself a tense (nervous) person?","haven_labelled"
"o17_12"," Do you have tinnitus?","haven_labelled"
"o17_13"," Do you feel pressure in your ear (clogged ear sensation)?","haven_labelled"
"o18","In the last 6 months,have you had difficulties eating or felt pain when drinking","haven_labelled"
"o20","In the last 6 months, have you felt bothered when brushing?","haven_labelled"
"o21","In the last 6 months, have you felt nervous or irritated?","haven_labelled"
"o22","In the LAST 6 MONTHS, have you stopped going out, having fun and attending parti","haven_labelled"
"o23","In the last 6 months, have you had difficulties talking?","haven_labelled"
"o24","In the last 6 months, have you felt embarrassed when talking or smiling?","haven_labelled"
"o25","In the last 6 months, have you had difficulties working?","haven_labelled"
"o26","In the last 6 months, have you had trouble sleeping?","haven_labelled"
"o26_1","In the LAST 6 MONTHS, did you stop playing sports?","haven_labelled"
"o27","Was this section answered with someone elseâ€™s assistance?","haven_labelled"
"p1","Interviewer: check whether the respondent is bedridden (person who is ill and st","haven_labelled"
"p2","Interviewer: check whether the respondent uses a wheelchair (wheelchair chair us","haven_labelled"
"p3","Do you use any device or equipment to walk?","haven_labelled"
"p4","What kind of device or equipment do you use to walk?","haven_labelled"
"p5","Do you have difficulty running or jogging one kilometer or 10 blocks?","haven_labelled"
"p6","Do you have difficulty walking one kilometer, continuously?","haven_labelled"
"p7","Do you have difficulty walking 100 meters (one block)?","haven_labelled"
"p8","Do you have difficulty climbing several flights of stairs without resting?","haven_labelled"
"p9","Do you have difficulty climbing one flight of stairs without stopping or resting","haven_labelled"
"p10","Do you have difficulty sitting still for about two hours?","haven_labelled"
"p10_1","Do you have difficulty getting up from a chair after sitting for a long time?","haven_labelled"
"p12","Do you have difficulty bending over, kneeling or crouching?","haven_labelled"
"p13","Do you have difficulty with extending one or both arms above shoulder level?","haven_labelled"
"p14","Do you have any difficulty with pulling or pushing large objects, such as an arm","haven_labelled"
"p15","Do you have difficulty with lifting or carrying weights heavier than 5 kilograms","haven_labelled"
"p16","Do you have difficulty picking up a coin from a table?","haven_labelled"
"p17","Do you have any difficulty with doing your own personal hygiene?","haven_labelled"
"p17_1","Is this difficulty due to a health problem or a memory problem?","haven_labelled"
"p17_2","Do you need help with DOING YOUR PERSONAL HYGIENE?","haven_labelled"
"p18","Do you receive help with doing your personal hygiene?","haven_labelled"
"p20","Do you have any difficulty with preparing a hot meal?","haven_labelled"
"p20_1","Is this difficulty due to a health problem or a memory problem?","haven_labelled"
"p20_2","Do you need help with preparing a hot meal?","haven_labelled"
"p21","Do you receive help with preparing a hot meal?","haven_labelled"
"p24","Do you have any difficulty with using any type of transportation as a passenger?","haven_labelled"
"p24_1","Is this difficulty due to a health problem or a memory problem?","haven_labelled"
"p24_2","Do you need help with using any type of transportation as a passenger?","haven_labelled"
"p25","Do you receive help with using any type of transportation as a passenger?","haven_labelled"
"p26","Do you have any difficulty with doing shopping?","haven_labelled"
"p26_1","Is this difficulty due to a health problem or a memory problem?","haven_labelled"
"p26_2","Do you need help with doing shopping?","haven_labelled"
"p27","Do you receive help with doing shopping?","haven_labelled"
"p28","Do you have any difficulty with using telephone?","haven_labelled"
"p28_1","Is this difficulty due to a health problem or a memory problem?","haven_labelled"
"p28_2","Do you need help with using telephone?","haven_labelled"
"p29","Do you receive help with using telephone?","haven_labelled"
"p30","Do you have any difficulty with taking/managing your own medication?","haven_labelled"
"p30_1","Is this difficulty due to a health problem or a memory problem?","haven_labelled"
"p30_2","Do you need help with taking/managing your own medications?","haven_labelled"
"p31","Do you receive help with taking/managing your own medications?","haven_labelled"
"p31_1","Do you have any difficulty with walking around your house or in the garden?","haven_labelled"
"p31_2","Is this difficulty due to a health problem or a memory problem?","haven_labelled"
"p31_3","Do you need help with walking around your house or in the garden?","haven_labelled"
"p31_4","Do you receive help with walking around your house or in the garden?","haven_labelled"
"p31_5"," Who does help you the most with these activities?","haven_labelled"
"p31_6"," Is the person who helps the most with these activities female or male?","haven_labelled"
"p31_7","If a family member, who is the person who helps the most with these activities?","haven_labelled"
"p22","Do you have any difficulty with managing your own money?","haven_labelled"
"p22_1","Is this difficulty due to a health problem or a memory problem?","haven_labelled"
"p22_2","Do you need help with managing your own money?","haven_labelled"
"p22_3","Do you receive help with managing your own money?","haven_labelled"
"p22_4","Who does help you the most with managing your own money?","haven_labelled"
"p22_5","Is the person who helps the most with this activity female or male?","haven_labelled"
"p22_6","If a family member, who is the person who helps the most with this activity?","haven_labelled"
"p33","Do you have any difficulty with performing light housekeeping?","haven_labelled"
"p33_1","Is this difficulty due to a health problem or a memory problem?","haven_labelled"
"p33_2","Do you need help with performing light housekeeping?","haven_labelled"
"p34","Do you receive help with performing light housekeeping?","haven_labelled"
"p35","Do you have any difficulty with performing heavy housekeeping?","haven_labelled"
"p35_1","Is this difficulty due to a health problem or a memory problem?","haven_labelled"
"p35_2","Do you need help with performing heavy housekeeping?","haven_labelled"
"p36","Do you receive help with performing heavy housekeeping?","haven_labelled"
"p36_1","Who does help you the most with performing light or heavy housekeeping?","haven_labelled"
"p36_2","Is the person who helps the most with these activities female or male?","haven_labelled"
"p36_3","If a family member, who is the person who helps the most with these activities?","haven_labelled"
"p37","Do you have any difficulty with getting across a room or walking from one room t","haven_labelled"
"p37_1","Is this difficulty due to a health problem or a memory problem?","haven_labelled"
"p37_2","Do you need help with getting across a room or walking from one room to another","haven_labelled"
"p38","Do you receive help with getting across a room or walking from one room to anoth","haven_labelled"
"p40","Do you have any difficulty with dressing up?","haven_labelled"
"p40_1","Is this difficulty due to a health problem or a memory problem?","haven_labelled"
"p40_2","Do you need help with getting yourself dressed up?","haven_labelled"
"p41","Do you receive help with getting yourself dressed up?","haven_labelled"
"p43","Do you have any difficulty with showering?","haven_labelled"
"p43_1","Is this difficulty due to a health problem or a memory problem?","haven_labelled"
"p43_2","Do you need help with showering?","haven_labelled"
"p44","Do you receive help with showering?","haven_labelled"
"p46","Do you have any difficulty with eating from a dish that was placed in front of y","haven_labelled"
"p46_1","Is this difficulty due to a health problem or a memory problem?","haven_labelled"
"p46_2","Do you need help with eating?","haven_labelled"
"p47","Do you receive help with eating?","haven_labelled"
"p49","Do you have any difficulty with getting in or out of bed?","haven_labelled"
"p49_1","Is this difficulty due to a health problem or a memory problem?","haven_labelled"
"p49_2","Do you need help with getting in or out of bed?","haven_labelled"
"p50","Do you receive help with getting in or out of bed?","haven_labelled"
"p55","Do you have any difficulty with using the bathroom?","haven_labelled"
"p55_1","Is this difficulty due to a health problem or a memory problem?","haven_labelled"
"p55_2","Do you need help with using the bathroom?","haven_labelled"
"p56","Do you receive help with using the bathroom?","haven_labelled"
"p58","In the last month, have you ever lost control of urine or feces,unintentionally?","haven_labelled"
"p59","From 0 (zero) to 10 (ten), what score would you give for this leaking?","haven_labelled"
"p59_1","Who does help you the most with performing basic activities of daily living?","haven_labelled"
"p59_2","If a family member, who is the person who helps the most with these activities?","haven_labelled"
"p61","How old is this person?","haven_labelled"
"p62","What is the personÂ´s sex who helped you the most with BADL?","haven_labelled"
"p63","What is this personâ€™s marital status?","haven_labelled"
"p64","Does this person know how to read and write a message?","haven_labelled"
"p65","Has this person received specific training to care for older adults?","haven_labelled"
"p66","How many hours of training did this person receive to care for older adults?","haven_labelled"
"p67","Did this person stop working or studying to help you?","haven_labelled"
"p68","In the last week, how many hours did this person help you?","haven_labelled"
"p69"," Summing all the people that help you perform basic activities of daily living,","haven_labelled"
"p69_1","In total, in the last 30 days, how much did you or someone in your family pay fo","haven_labelled"
"p70","In the last 12 months, have you kept contact with other people by letters, telep","haven_labelled"
"p71","In the last 12 months, have you visited your friends and/or relatives in their h","haven_labelled"
"p72"," In the last 12 months, have you invited other people to come to your house to h","haven_labelled"
"p73","In the last 12 months, have you gone out with other people to public places?","haven_labelled"
"p74","In the last 12 months, have you participated in organized social activities?","haven_labelled"
"p75","In the last 12 months, have you participated in civil associations, councils, co","haven_labelled"
"p76","In the last 12 months, have you used the computer, including the internet?","haven_labelled"
"p76_1","On average, how often do you use the internet or send/receive messages by email?","haven_labelled"
"p77"," In the last 12 months, have you driven?","haven_labelled"
"p77_1","Do you have a car available when you need it? It doesn't matter if you are a dri","haven_labelled"
"p77_2"," How often do you use public transportation?","haven_labelled"
"p78","In the last 12 months, have you met your colleagues/friends/relatives to play ga","haven_labelled"
"p78_1","How often do you usually go to the movie theater?","haven_labelled"
"p78_2","How often do you usually go out to eat?","haven_labelled"
"p78_3","How often do you usually go out to the theater, attend a concert/opera or attend","haven_labelled"
"p78_4","How often do you go out to museums or art galleries?","haven_labelled"
"p79","In the last 12 months, have you made any handcrafts or practiced any hobbies?","haven_labelled"
"p80","In the last 12 months, have you gone on a short leisure trip?","haven_labelled"
"p81","In the last 12 months, have you gone on a long leisure trip?","haven_labelled"
"p82","In the last 12 months, have you done any volunteer work?","haven_labelled"
"p83","In the last 12 months, how often have you done volunteer work?","haven_labelled"
"p84","In the last 30 days, on average, how many hours per week have you done volunteer","haven_labelled"
"p85","In the last 12 months, have you taken care of anyone, without being paid, includ","haven_labelled"
"p86","In the last 12 months, how often have you taken care of this person?","haven_labelled"
"p87","In the last week for how many hours have you taken care of this person?","haven_labelled"
"p88","Was this section answered with someone elseâ€™s assistance?","haven_labelled"
"q1","Interviewer: Is the questionnaire being answered by the participant him/herself?","haven_labelled"
"q2","Do you know how to read and write a note?","haven_labelled"
"q3","Currently, how do you classify your memory?","haven_labelled"
"q4","Comparing your memory to how it was 2 years ago, your current memory is:","haven_labelled"
"q7"," Interviewer: Is the day correct?","haven_labelled"
"q8"," Interviewer: Is the month correct?","haven_labelled"
"q9"," Interviewer: Is the year correct?","haven_labelled"
"q10"," Interviewer: Is the day of the week correct?","haven_labelled"
"q11"," Interviewer: Is the participant able to perform the task?","haven_labelled"
"q12","Interviewer: Can the interviewee hear correctly?","haven_labelled"
"q13","Interviewer: Number of words recalled correctly","haven_labelled"
"q14","Interviewer: Number of animals that were mentioned correctly","haven_labelled"
"q15","Interviewer: Did you have to ask what the respondent should have done?","haven_labelled"
"q16","Interviewer: What did the respondent do when you handed over to him/her the pape","haven_labelled"
"q17","Number of correct words that were recalled","haven_labelled"
"q18","What do people usually use to cut a paper?","haven_labelled"
"q19","What is the fruit that, when mature, is yellow and we peel to eat?","haven_labelled"
"q20","Who is currently the president of Brazil?","haven_labelled"
"q21","Who is the vice-president of Brazil?","haven_labelled"
"qp1","How would you classify the memory of the interviewee currently?","haven_labelled"
"qp2","Compared to the last month, would you say that the memory of the interviewee is:","haven_labelled"
"qp3","Do you know the interviewee for at least two years?","haven_labelled"
"qp4","The memory to recall issues related to family and friends","haven_labelled"
"qp5","Do you think there was much improvement or some improvement?","haven_labelled"
"qp6","Do you think there was much worsening or some worsening?","haven_labelled"
"qp7","How is his/her ability to remember situations that recently happened?","haven_labelled"
"qp8","Do you think there was much improvement or some improvement?","haven_labelled"
"qp9","Do you think there was much worsening or some worsening?","haven_labelled"
"qp10","How is his/her ability to remember conversations that happened a few days earlie","haven_labelled"
"qp11","Do you think there was much improvement or some improvement?","haven_labelled"
"qp12","Do you think there was much worsening or some worsening?","haven_labelled"
"qp13","How is his/her ability to remember his own address or his phone number?","haven_labelled"
"qp14","Do you think there was much improvement or some improvement?","haven_labelled"
"qp15","Do you think there was much worsening or some worsening?","haven_labelled"
"qp16","How is his/her ability to remember the day and month in which we are?","haven_labelled"
"qp17","Do you think there was much improvement or some improvement?","haven_labelled"
"qp18","Do you think there was much worsening or some worsening?","haven_labelled"
"qp19","How is his/her ability to remember where things were kept?","haven_labelled"
"qp20","Do you think there was much improvement or some improvement?","haven_labelled"
"qp21","Do you think there was much worsening or some worsening?","haven_labelled"
"qp22","How is his/her ability to remember where things were kept(placed in a different","haven_labelled"
"qp23","Do you think there was much improvement or some improvement?","haven_labelled"
"qp24","Do you think there was much worsening or some worsening?","haven_labelled"
"qp25","How is his/her ability to remember how the main home appliances work?","haven_labelled"
"qp26","Do you think there was much improvement or some improvement?","haven_labelled"
"qp27","Do you think there was much worsening or some worsening?","haven_labelled"
"qp28","How is his/her ability to learn how to use a new appliance existing at home?","haven_labelled"
"qp29","Do you think there was much improvement or some improvement?","haven_labelled"
"qp30","Do you think there was much worsening or some worsening?","haven_labelled"
"qp31","How is his/her ability to learn new things (tasks/abilities) in general?","haven_labelled"
"qp32","Do you think there was much improvement or some improvement?","haven_labelled"
"qp33","Do you think there was much worsening or some worsening?","haven_labelled"
"qp34","How is his/her ability to follow a story either in a book or on television?","haven_labelled"
"qp35","Do you think there was much improvement or some improvement?","haven_labelled"
"qp36","Do you think there was much worsening or some worsening?","haven_labelled"
"qp37","How is his/her ability to make decisions on daily situations?","haven_labelled"
"qp38","Do you think there was much improvement or some improvement?","haven_labelled"
"qp39","Do you think there was much worsening or some worsening?","haven_labelled"
"qp40","How is his/her ability to handle money to make purchases?","haven_labelled"
"qp41","Do you think there was much improvement or some improvement?","haven_labelled"
"qp42","Do you think there was much worsening or some worsening?","haven_labelled"
"qp43","How is his/her ability to deal with financial situations?","haven_labelled"
"qp44","Do you think there was much improvement or some improvement?","haven_labelled"
"qp45","Do you think there was much worsening or some worsening?","haven_labelled"
"qp46","How is his/her ability to deal with arithmetical problems on a daily basis?","haven_labelled"
"qp47","Do you think there was much improvement or some improvement?","haven_labelled"
"qp48","Do you think there was much worsening or some worsening?","haven_labelled"
"qp49","How is his/her ability to understand what is going?","haven_labelled"
"qp50","Do you think there was much improvement or some improvement?","haven_labelled"
"qp51","Do you think there was much worsening or some worsening?","haven_labelled"
"qp52","Has the interviewee been getting lost frequently in environments that are famili","haven_labelled"
"qp53","Has the interviewee been getting lost frequently in the street, needing help to","haven_labelled"
"qp54","Can the interviewee be left alone for a period of one hour?","haven_labelled"
"qp55","Has the interviewee seen or heard things that donâ€™t exist?","haven_labelled"
"r1","Is the interview being answered with the help of another person?","haven_labelled"
"r2","During the last week, have you felt depressed most of the time?","haven_labelled"
"r3","During the LAST WEEK, have you felt most of the time that things were more diffi","haven_labelled"
"r4","During the LAST WEEK, have you felt most of the time that your sleep was not res","haven_labelled"
"r5","During the last week, have you felt happy most of the time?","haven_labelled"
"r6","During the last week, have you felt lonely most of the time?","haven_labelled"
"r7","During the last week, have you enjoyed or felt pleasure by life most of the time","haven_labelled"
"r8","During the last week, have you felt sad most of the time?","haven_labelled"
"r9","During the LAST WEEK, have you felt unable to carry out your things most of the","haven_labelled"
"s1","Do you have living children who do not live with you?","haven_labelled"
"s2","How often do you meet (in person) with any of your children, not counting the on","haven_labelled"
"s3","How often do you talk on the phone with any of your children, not counting the o","haven_labelled"
"s4","Do you have any other relatives who do not live with you?","haven_labelled"
"s5"," How often do you meet (in person) with any of your relatives, not counting the","haven_labelled"
"s6"," How often do you talk on the phone, skype, whatsapp, and facebook with any of y","haven_labelled"
"s7","Do you have friends?","haven_labelled"
"s8","How often do you meet (in person) with any of your friends, not counting the one","haven_labelled"
"s9","How often do you talk on the phone or on skype with any of your friends, not cou","haven_labelled"
"s10","Is the interviewee answering with the help of another person?","haven_labelled"
"s11","Main person who will help you to take care of home if you need due to illness","haven_labelled"
"s12","If, due to illness, you need help with shopping, paying bills or going to the ba","haven_labelled"
"s13","If you want to tell a secret, who else can you trust?","haven_labelled"
"s14","If you need to borrow some money or an object, who would you ask?","haven_labelled"
"s15","Do you get annoyed because you think people try to help you more than you think","haven_labelled"
"s16","Do you think people make a lot of charges, requirements or criticism of you?","haven_labelled"
"s16_1","How often do you miss company?","haven_labelled"
"s16_2","How often do you feel excluded?","haven_labelled"
"s16_3","How often do you feel isolated from others?","haven_labelled"
"s16_4","How often do you feel in tune with the people around you?","haven_labelled"
"s17","How often do you feel alone/lonely?","haven_labelled"
"s18","Please, think about your level of satisfaction with life and point out the corre","haven_labelled"
"s19","Evaluate your level of satisfaction with life compared to other people of the sa","haven_labelled"
"s20","In the last 12 months, have you experienced the death of a spouse or partner?","haven_labelled"
"s21","In the last 12 months, have you experienced the death of a child?","haven_labelled"
"s22","In the last 12 months, have you experienced the death of other loved one?","haven_labelled"
"s23","In the last 12 months, have you experienced a severe illness of a child or a gra","haven_labelled"
"s24","In the last 12 months, have you gotten seriously ill?","haven_labelled"
"s25","In the last 12 months, have you experienced unemployment, divorce or financial p","haven_labelled"
"s26","In the last 12 months, have you experienced any kind of violence suffered by you","haven_labelled"
"s27","In the last 12 months, were you a victim of an act of violence?","haven_labelled"
"s28_1"," Do you have a religion?","haven_labelled"
"s29","In the last 12 months, how often have you participated in religious ceremonies,","haven_labelled"
"s30","To what extent does religious faith bring meaning to your life?","haven_labelled"
"s31","To what extent is daily praying or meditating important to you?","haven_labelled"
"s32","Do you consider yourself active in the practice of your religion?","haven_labelled"
"s33","Does religion help you face difficult times?","haven_labelled"
"s34","Does religion help you to be a more upright person?","haven_labelled"
"s35","Does being part of a religious group make you feel accepted and participative?","haven_labelled"
"s36","How often do you think your age prevents you from doing things that you would li","haven_labelled"
"s37","How often do you think that things that happen to you are out of your control?","haven_labelled"
"s38","How often do you feel free to make plans for future?","haven_labelled"
"s39","How often do you feel excluded from events?","haven_labelled"
"s40","How often do you get to do the things that you wish to do?","haven_labelled"
"s41","How often do your family responsibilities prevent you from doing what you want?","haven_labelled"
"s42","How often are you able to look for activities that give you pleasure?","haven_labelled"
"s43","How often does your health prevent you from doing things that you would like to","haven_labelled"
"s44","How often do your financial problems prevent you from doing things that you woul","haven_labelled"
"s45","How often do you wait enthusiastically for each day?","haven_labelled"
"s46","How often do you feel that your life has a meaning?","haven_labelled"
"s47","How often do you like the things that you do?","haven_labelled"
"s48","How often do you like to be in the company of other people?","haven_labelled"
"s49","How often do you have a feeling of happiness when you think about what you have","haven_labelled"
"s50","How often do you feel full of energy?","haven_labelled"
"s51","How often do you like to do new things?","haven_labelled"
"s52","How often do you feel satisfied with your achievements?","haven_labelled"
"s53","How often do you think that life is full of opportunities?","haven_labelled"
"s54","How often do you feel optimistic about the future?","haven_labelled"
"t1","Are you taking any medication of regular or continuous use that was prescribed b","haven_labelled"
"t2","How many medications of regular or continuous use, prescribed by the doctor, hav","haven_labelled"
"t3"," In the last 30 days, how much have you spent on medications of regular or conti","haven_labelled"
"t4","What is the range that best represents the amount paid?","haven_labelled"
"t5","In general, what is the main problem you have to deal with in order to get medic","haven_labelled"
"t6","In the last 30 days, due to financial problems, you:","haven_labelled"
"t7","Was this section answered with someone elseâ€™s assistance?","haven_labelled"
"u1","Are you covered by a private health insurance plan from a company or a public ag","haven_labelled"
"u2","For how long have you had a health insurance plan?","haven_labelled"
"u3","Considering the last 3 months, how much have you paid for the last monthly fee o","haven_labelled"
"u4","What is the range that best represents the last amount paid?","haven_labelled"
"u5","Who paid for the last monthly fee of your health insurance plan?","haven_labelled"
"u6","In the last 12 months, how many times have you seen a doctor?","haven_labelled"
"u7","How did you get the last medical appointment?","haven_labelled"
"u8","In the last 12 months, how many of your medical visits were with specialists?","haven_labelled"
"u9","In the last 12 months, how many of your medical visits were at your home?","haven_labelled"
"u10","Is there a health care professional or a service that you usually seek when you","haven_labelled"
"u11","Since when have you been seeing this health care professional or service?","haven_labelled"
"u12","Do you find it easy to get a medical appointment?","haven_labelled"
"u13","Do you get a medical appointment within 24 hours when you are sick?","haven_labelled"
"u14","Do you manage to request information over the phone when you need health care, n","haven_labelled"
"u15","Do you or your companion have to skip work or miss a full workday to get you to","haven_labelled"
"u16","Are you seen by the same doctor who saw you the previous time(s)?","haven_labelled"
"u17","Does the doctor who sees you listen to your complaints carefully?","haven_labelled"
"u18","Explain details about your health or treatment in a way that you can understand?","haven_labelled"
"u19","Know about all the medications that you are taking?","haven_labelled"
"u20","Have the capacity of solving most of your health problems?","haven_labelled"
"u21","Does the doctor who sees you ask about the health of other members of your famil","haven_labelled"
"u22","Does the doctor who sees you know your main health problems?","haven_labelled"
"u23","Do you consider that your medical visit lasts the necessary amount of time?","haven_labelled"
"u24","How often does the primary care doctor or general doctor talk to you about the r","haven_labelled"
"u25","Do you usually need an appointment with a general doctor to get an appointment w","haven_labelled"
"u26","How often does the person who sees you (general doctor or another health profess","haven_labelled"
"u27","Would you recommend to someone else the doctors or professionals of the health s","haven_labelled"
"u28","In the last 12 months, has any doctor talked to you about diet or nutrition care","haven_labelled"
"u29","In the last 12 months, has any doctor talked to you about physical activities or","haven_labelled"
