"variable","label","class"
"d3","What is the range that best represents the total of this gain?","haven_labelled"
"d4","Have received any income from retirement benefits or death pension?","haven_labelled"
"d5","What is the amount of this income?","haven_labelled"
"d6","What is the range that best represents the total of this gain?","haven_labelled"
"d7","Have received the BPC-LOAS, Bolsa FamÃ­lia, alimony or donation?","haven_labelled"
"d8","What is the amount of this income?","haven_labelled"
"d9","What is the range that best represents the total of this gain?","haven_labelled"
"d16","Have received any income from rentals or leases?","haven_labelled"
"d17","What is the amount of this income?","haven_labelled"
"d18","What is the range that best represents the total of this gain?","haven_labelled"
"d22","Have received any earnings from another source?","haven_labelled"
"d23","What is the amount of this income?","haven_labelled"
"d24","What is the range that best represents the total of this gain?","haven_labelled"
"d28_1","Total amount of the monthly income of this household","haven_labelled"
"d28","What is the range that best represents the total amount of the monthly income of","haven_labelled"
"d29","Which alternative best describes the income of all residents of the household?","haven_labelled"
"d30a","Who is the main informant of the Household Module?","haven_labelled"
"d30","What is relationship of the main informant of the Household Module?","haven_labelled"
"sex","Sex","haven_labelled"
"age","Age","haven_labelled"
"relationship","Relationship","haven_labelled"
"e2","Were you born in Brazil?","haven_labelled"
"e3","How old were you when you moved to Brazil?","haven_labelled"
"e5","How long have you been living in this municipality?","haven_labelled"
"e6","Have you lived in a rural area until age 15?","haven_labelled"
"e7","What is your current marital status?","haven_labelled"
"e8","How long have you been in your current marital status?","haven_labelled"
"e9","Which of the following options best describes your race?","haven_labelled"
"e10","Do you have any indigenous relative to the second degree?","haven_labelled"
"e11","How many live children do you have?","haven_labelled"
"e12","How many live grandchildren or great-grandchildren do you have?","haven_labelled"
"e13","How many live siblings do you have?","haven_labelled"
"e14","Is your biological mother alive?","haven_labelled"
"e15","How old is she?","haven_labelled"
"e16","How old was she when she died?","haven_labelled"
"e17","What is (was) the level of education of your mother?","haven_labelled"
"e18","Is your biological father alive?","haven_labelled"
"e19","How old is he?","haven_labelled"
"e20","How old was he when he died?","haven_labelled"
"e21","What is (was) the level of education of your father?","haven_labelled"
"e22","What was the highest grade in school that you completed?","haven_labelled"
"e23","How old were you when you started school?","haven_labelled"
"e24","Are you currently attending the University for the Elderly (Universidade da Terc","haven_labelled"
"e25_0","Are you not currently attending any informal course?","haven_labelled"
"e25_2","Are you currently attending any course of Foreign language?","haven_labelled"
"e25_3","Are you currently attending any course of data processing or computer sciences?","haven_labelled"
"e25_4","Are you currently attending cooking classes?","haven_labelled"
"e25_5","Are you currently attending tailoring classes?","haven_labelled"
"e25_6","Are you currently attending any Arts  classes (painting, drawing, ceramics, craf","haven_labelled"
"e25_7","Are you currently attending any other informal course not mentioned before?","haven_labelled"
"e26","Was this section answered with someone elseâ€™s assistance?","haven_labelled"
"f1","Will this interview be performed in an urban area?","haven_labelled"
"f2","Are there in your neighborhood damaged or abandoned houses and buildings?","haven_labelled"
"f3","Are there in your neighborhood garbage, rubbish or tall grass on the streets, si","haven_labelled"
"f4","In your neighborhood, does the sound/noise of buses and cars bother you?","haven_labelled"
"f5","Thinking about crime and violence, which of the following sentences best defines","haven_labelled"
"f6","In the last 3 months, have you seen rats or signs of them on the street where yo","haven_labelled"
"f7","When you leave your home, are you concerned about falling due to damaged sidewal","haven_labelled"
"f8","When you leave your home, are you concerned about having difficulties hopping on","haven_labelled"
"f9","When you leave your home, are you concerned about having difficulties crossing t","haven_labelled"
"f10","In the last 12 months, were you a victim of a theft, robbery or had your home br","haven_labelled"
"f11","Is your neighborhood a good place to live?","haven_labelled"
"f12","Do you believe you can trust most people in your neighborhood?","haven_labelled"
"f13","Do kids and younger people on your neighborhood treat adults with respect?","haven_labelled"
"f14","Is your neighborhood a good place for kids to play and to raise teenagers?","haven_labelled"
"f15","Is it nice to walk, jog, or ride a bicycle in your neighborhood?","haven_labelled"
"f16","Are there in your neighborhood grocery shops, street markets or other selling po","haven_labelled"
"f17","Would you like to move away from where you live now?","haven_labelled"
